Contract,Backend Developer,Designer,Frontend Developer,Project Manager,Scientist,User Research,Operations,Business Development
Half-Earth 2020-2021,18.2,42.6,13.8,16.7,6.3,2.4
Green Energy Data Platform ,18.2,10.0,39.8,16.2,6.3,7.2,2.4
CCLOW/TPI,53.02,14.35,19.13,13.5
Earth Dashboard First Prototype,6.2,27.1,47.0,10.6,4.1,2.5,2.5
Wildlife Tourism Africa phase 2,29.3,6.4,25.1,3.8,35.4
Expert Range Mapper,26.9,4.7,50.7,17.7
Marxan Platform Discovery,2.1,33.6,3.1,24.2,21.5,15.5
WRI Maintenance and Documentation,87.0,13.0
Trase Q3 - 2020,39.0,15.5,18.0,13.0,3.0,11.5
TNC Soils Revealed MVP,8.0,6.7,34.5,17.6,25.3,4.4,3.5
WRI API Apple login,100.0
RW5 Sept-Nov2020,9.7,24.5,20.5,4.5,6.1,20.5,14.2
US Resilience Opportunity Map,3.0,6.1,58.2,12.3,8.7,5.7,6.0
H2020 LandGriffon Supply Chain nov'20-apr'21,1.7,12.7,2.0,36.8,10.7,12.4,23.7
CW Net Zero Tracker,20.1,14.2,35.1,23.1,6.7,0.8
Covid-19,21.0,53.0,13.0,13.0
Prep Climate Indicators,70.0,30.0
Widget Editor 2020,7.0,59.4,7.0,7.0,19.6
WRI Migration Phase 2,87.0,13.0
I2I,15.5,55.0,10.0,13.0,6.5
ReFED,16.69,10.27,41.72,9.63,9.0,10.59,2.1
Mangrove Atlas Phase 2,15.3,15.3,25.6,13.0,30.8
GFW Flagship Oct-Dec 2020,3.9,16.9,40.0,14.5,21.2,3.5
Waterbird Population Estimates Portal 2020,10.0,20.0,46.0,13.0,7.0,4.0
Trase Q1 - 2020,39.0,10.0,32.0,14.0,5.0
Demo Cases CLIMATE,22.6,54.0,9.8,13.6
GFW Flagship Jul-Sept 2020,6.2,25.3,35.2,16.3,13.9,3.0
